	GT1	GT10	GT11	GT12	GT13	GT14	GT15	GT16	GT17	GT18	GT2	GT3	GT4	GT5	GT6	GT7	GT8	GT9	HHM1	HHM10	HHM11	HHM12	HHM13	HHM14	HHM15	HHM16	HHM17	HHM18	HHM2	HHM3	HHM4	HHM5	HHM6	HHM7	HHM8	HHM9
ASV_237	205	3	0	18	13	19	0	12	0	0	0	0	0	9	0	0	10	58	0	6	0	0	0	89	0	21	64	165	0	0	0	18	0	0	0	117
ASV_253	96	24	0	44	10	38	0	125	0	0	0	0	0	69	0	0	18	30	0	13	0	0	0	105	0	83	15	71	0	0	0	26	0	0	0	59
ASV_219	6	36	0	77	191	50	0	85	0	0	0	0	0	68	0	0	48	90	0	32	0	0	0	3	0	89	31	5	0	0	0	1	0	0	0	9
ASV_317	8	10	0	118	138	39	0	41	0	0	0	0	0	34	0	0	27	128	0	85	0	0	0	5	0	53	85	29	0	0	0	14	0	0	0	7
ASV_269	9	35	0	8	6	16	0	49	0	0	0	0	0	413	0	0	58	10	0	45	0	0	0	9	0	12	8	17	0	0	0	10	0	0	0	108
ASV_275	99	26	0	79	5	54	0	50	0	0	0	0	0	35	0	0	15	108	0	29	0	0	0	69	0	64	33	75	0	0	0	12	0	0	0	59
ASV_1678	14	52	0	153	13	50	0	59	0	0	0	0	0	28	0	0	24	25	0	21	0	0	0	20	0	115	17	71	0	0	0	100	0	0	0	34
ASV_243	185	14	0	104	0	5	0	5	0	0	0	0	0	18	0	0	5	0	0	0	0	0	0	119	0	121	5	174	0	0	0	9	0	0	0	32
ASV_214	11	22	0	43	72	63	0	22	0	0	0	0	0	70	0	0	28	25	0	90	0	0	0	5	0	199	49	82	0	0	0	4	0	0	0	9
ASV_231	0	4	0	26	222	14	0	2	0	0	0	0	0	53	0	0	71	167	0	92	0	0	0	0	0	69	66	0	0	0	0	0	0	0	0	1
ASV_262	162	39	0	25	11	21	0	56	0	0	0	0	0	12	0	0	24	20	0	1	0	0	0	87	0	84	22	71	0	0	0	40	0	0	0	109
ASV_242	97	7	0	123	14	82	0	38	0	0	0	0	0	62	0	0	18	34	0	15	0	0	0	85	0	43	56	78	0	0	0	19	0	0	0	10
ASV_259	16	11	0	131	97	60	0	17	0	0	0	0	0	11	0	0	49	54	0	45	0	0	0	5	0	39	97	30	0	0	0	114	0	0	0	3
ASV_264	70	9	0	79	11	129	0	17	0	0	0	0	0	44	0	0	33	44	0	30	0	0	0	31	0	147	68	33	0	0	0	15	0	0	0	14
ASV_284	81	117	0	18	7	23	0	144	0	0	0	0	0	57	0	0	56	13	0	3	0	0	0	65	0	24	17	16	0	0	0	7	0	0	0	123
ASV_270	3	22	0	36	150	84	0	2	0	0	0	0	0	95	0	0	54	152	0	51	0	0	0	1	0	70	32	6	0	0	0	8	0	0	0	2
ASV_280	0	14	0	32	110	59	0	6	0	0	0	0	0	100	0	0	46	74	0	191	0	0	0	1	0	51	79	2	0	0	0	1	0	0	0	0
ASV_2914	94	5	0	32	13	13	0	113	0	0	0	0	0	5	0	0	14	27	0	3	0	0	0	23	0	7	22	108	0	0	0	72	0	0	0	215
ASV_309	3	36	0	17	8	7	0	135	0	0	0	0	0	397	0	0	37	5	0	26	0	0	0	5	0	17	7	2	0	0	0	4	0	0	0	60
ASV_283	136	5	0	39	17	7	0	8	0	0	0	0	0	8	0	0	8	47	0	10	0	0	0	75	0	27	20	127	0	0	0	136	0	0	0	92
ASV_286	1	0	0	99	416	13	0	4	0	0	0	0	0	7	0	0	2	94	0	3	0	0	0	2	0	15	99	3	0	0	0	1	0	0	0	0
ASV_307	29	9	0	9	4	0	0	141	0	0	0	0	0	2	0	0	11	4	0	0	0	0	0	25	0	2	2	7	0	0	0	2	0	0	0	502
ASV_266	5	1	0	44	92	24	0	19	0	0	0	0	0	64	0	0	179	36	0	139	0	0	0	6	0	56	76	1	0	0	0	3	0	0	0	2
ASV_3333	34	28	0	95	27	71	0	21	0	0	0	0	0	82	0	0	16	83	0	25	0	0	0	20	0	111	68	43	0	0	0	6	0	0	0	17
ASV_1138	3	0	0	13	189	6	0	6	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	14	0	1	5	382	0	0	0	121	0	0	0	3
ASV_429	228	9	0	61	30	14	0	21	0	0	0	0	0	7	0	0	5	22	0	5	0	0	0	95	0	28	11	63	0	0	0	134	0	0	0	7
ASV_276	3	18	0	59	20	67	0	6	0	0	0	0	0	112	0	0	80	101	0	65	0	0	0	1	0	75	119	8	0	0	0	1	0	0	0	0
ASV_274	1	0	0	5	36	683	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	2
ASV_261	55	102	0	21	26	11	0	16	0	0	0	0	0	13	0	0	52	18	0	18	0	0	0	21	0	28	22	27	0	0	0	17	0	0	0	286
ASV_364	27	15	0	49	46	77	0	4	0	0	0	0	0	20	0	0	9	70	0	13	0	0	0	12	0	50	49	139	0	0	0	129	0	0	0	14
ASV_322	7	46	0	28	11	37	0	371	0	0	0	0	0	66	0	0	25	16	0	6	0	0	0	3	0	19	17	4	0	0	0	11	0	0	0	55
ASV_256	89	1	0	198	15	41	0	7	0	0	0	0	0	1	0	0	2	6	0	1	0	0	0	28	0	81	7	111	0	0	0	126	0	0	0	4
ASV_373	23	2	0	79	160	295	0	8	0	0	0	0	0	1	0	0	0	63	0	1	0	0	0	6	0	61	1	8	0	0	0	1	0	0	0	4
ASV_291	64	38	0	39	13	24	0	143	0	0	0	0	0	69	0	0	24	47	0	35	0	0	0	54	0	58	13	46	0	0	0	3	0	0	0	28
ASV_342	4	20	0	77	109	47	0	38	0	0	0	0	0	69	0	0	37	104	0	53	0	0	0	1	0	49	69	5	0	0	0	5	0	0	0	7
ASV_354	51	28	0	21	24	15	0	6	0	0	0	0	0	16	0	0	27	17	0	13	0	0	0	36	0	20	26	267	0	0	0	78	0	0	0	48
